id,title,address,working_time,phone,latitude,longitude,site,type,additional_info,city,price,accepts
79170b21-b241-4258-bba1-66479e402de4,Kazakhstan Waste Recycling,"ST. Valikhanov, 70",mon - fri 10:00-17:30,77272458133,"43,2560864","76,9517978",kagazy.kz,recycling,No additional info available,almaty, contractual,"cardboard, wastepaper, polyethylene, aluminum cans, glassware, tetra pak, plastic"
160a36e9-caed-4ec3-8ff2-3510322dd6e8,Kazakhstan Waste Recycling,Md. Duman 2,mon - fri 10:00-17:30,77272458133,"43,2859666","77,0060658",kagazy.kz,recycling,Only clear glass is accepted,almaty, contractual,"cardboard, wastepaper, aluminum cans, glassware, plastic"
a6ae703d-0d0c-4775-90b3-3370e92919d3,Kazakhstan Waste Recycling,St. Makataeva 50,mon - fri 10:00-17:30,77272458133,"43,264916","76,955172",kagazy.kz,recycling,Only clear glass is accepted,almaty, contractual,"cardboard, wastepaper, aluminum cans, glassware, plastic"
863a830d-2895-45fd-a2db-6ce631b2b7d2,IB. Nurzhanova,St.Bogenbai Batir 266,mon - fri 08:00-19:00,77014117933,"43,2520407","76,930628",,recycling,No additional info available,almaty, contractual,"glassware, plastic, metal, polyethylene, aluminum cans"
d269b534-7dc7-4dd6-a4ce-387c63170202,Kazakhstan Waste Recycling,"Md. 8, 57",mon - fri 10:00-17:30,77272458133,"43,2271452","76,867772",kagazy.kz,recycling,No additional info available,almaty, contractual,"cardboard, wastepaper, aluminum cans, glassware,"
b30f7337-a03c-407a-a3cd-14d3510a8e9f,Kazakhstan Waste Recycling,Md. Zhaskanat 1/29,mon - fri 10:00-17:30,77272458133,"43,31178","76,974607",kagazy.kz,recycling,Only clear glass is accepted,almaty, contractual,"cardboard, wastepaper,  glassware, plastic"
0b9f7176-2dd6-4e1d-b0e7-710ffdbcddd6,Kazakhstan Waste Recycling,Md. Kokzhidek 35,mon - fri 10:00-17:30,77272458133,"43,3567329","76,9224159",kagazy.kz,recycling,Only clear glass is accepted,almaty, contractual,"wastepaper, aluminum cans, glassware, plastic"
54fcf8f4-9097-4fd6-9591-9cfeb69c91e0,Kazakhstan Waste Recycling,Md. Ainabulak 3,mon - fri 10:00-17:30,77272458133,"43,3230627","76,9206777",kagazy.kz,recycling,Only clear glass is accepted,almaty, contractual,"cardboard, wastepaper, aluminum cans, glassware, plastic"
26f889df-88ac-4523-adc1-03f2a44edaf3,Kazakhstan Waste Recycling,"Md. Kulager, St. Omarova 35",mon - fri 10:00-17:30,77272458133,"43,3048317","76,922532",kagazy.kz,recycling,Only clear glass is accepted,almaty, contractual,"cardboard, wastepaper, aluminum cans, glassware, plastic"
4d95c453-8398-4bd5-a11c-d688876fa529,IB.Amir,St. Riskulova 76,mon - fri 09:00-18:00,77081219112,"43,2820634","76,9178576",,recycling,Accepts aluminum cans of beer and energy drinks,almaty, contractual,aluminum cans
0a3c011f-1bf1-426d-87a2-c7ee0583013f,Kazakhstan Waste Recycling,St. Magistral 13Б,mon - fri 10:00-17:30,77272458133,"43,2521144","76,9102401",kagazy.kz,recycling,Only clear glass is accepted,almaty, contractual,"wastepaper, aluminum cans, "
ecb8244b-4551-4c07-affb-db7d38cbb327,Kazakhstan Waste Recycling,"Dis. Raimbek, St.Yemtsova 2",mon - fri 10:00-17:30,77272458133,"43,2613514","76,859262",kagazy.kz,recycling,Only clear glass is accepted,almaty, contractual,"cardboard, wastepaper, aluminum cans, glassware, plastic"
db8c79ca-4012-4dc8-b145-d0c165fe8cc7,Kazakhstan Waste Recycling,Saina 16,mon - fri 10:00-17:30,77017215531,"43,1956157","76,884752",kagazy.kz,recycling,No additional info available,almaty, contractual,"cardboard, wastepaper, polyethylene, aluminum cans, glassware, plastic"
