"id","path","type","entity_id","date"
"36fe0ac4-bc9a-4fd8-b090-861b5c346087","icons/stats_type/trees.svg","image","de467aa6-db6e-47ee-9ce6-c263819d4062","2021-03-28 18:50:15.635171"
"9be3cc5a-83e7-4732-a18d-57c00913527f","icons/stats_type/energy.svg","image","c70a5f42-54c2-48bf-88f2-3050f1b3869b","2021-03-28 18:51:19.04486"
"f16fd283-d74a-4a10-b44d-1a2bf29403dd","icons/stats_type/waste.svg","image","ddeb40af-05d2-4570-91e3-42e2f2473133","2021-03-28 18:51:20.931495"
"a8eef402-474e-4440-b0f4-205b4accb0b5","icons/waste_types/alumin.svg","image","8fcc1843-e287-4168-8a98-a396b1baae8e","2021-03-28 19:01:12.614655"
"243e7ce1-483d-437e-ab2a-f5c76fda992a","icons/waste_types/wastepaper.svg","image","da252931-1f14-4fd5-a54b-857b8f760555","2021-03-28 19:01:12.614655"
"5d926b67-98db-4fe8-8a58-eb65004af775","icons/waste_types/cardboard.svg","image","ece03d82-889b-4f66-8a22-9cbf3f5e31fa","2021-03-28 19:01:12.614655"
"a6be1721-af54-40cd-907e-d64172c4bca1","icons/waste_types/glassware.svg","image","f3a4b6e0-2d95-427c-8a4d-d3fd1fd4c580","2021-03-28 19:01:12.614655"
"d7baec4a-7bf6-4b35-a2cb-ba6aefb7b55d","icons/waste_types/metal.svg","image","57911806-f729-44ae-b170-6953bd7d1802","2021-03-28 19:01:12.614655"
"580aadbb-021c-42c4-b322-0f5fc1b59c6c","icons/waste_types/plastic.svg","image","af4415b8-36d2-4c26-8ee9-8f2112262862","2021-03-28 19:01:12.614655"
"377c73da-2e9a-4a98-99b7-4a1c5070046c","icons/waste_types/polyethylene.svg","image","56048df0-d1b5-463c-b964-b4d4d50b2816","2021-03-28 19:01:12.614655"
"a8c098a6-cf29-4d74-8517-51cc355ae3b6","icons/waste_types/textile.svg","image","a376579e-ac37-4c45-b9ce-f8ac15736042","2021-03-28 19:01:12.614655"
"91c4efb2-641b-419e-9b04-dcaf420b4d2c","icons/waste_types/tetra-pak.svg","image","1b10729d-644e-46bf-999e-209cbf28e6b3","2021-03-28 19:01:12.614655"
"eef473de-0ea8-4c58-bb54-eb7a6529225c","icons/waste_types/batteries.svg","image","936a7317-4183-498c-9de8-ad61189184ec","2021-03-28 19:01:12.614655"
"28e44662-f388-4954-8a96-f72993f39140","icons/waste_types/styrofoam.svg","image","e26a411d-40c3-4ede-88b3-f463e53aab43","2021-03-28 19:01:12.614655"
"b11199b8-4cd8-4313-916e-86639a12dac4","icons/waste_types/computer-equipment.svg","image","5af391df-7ee2-4f0f-b615-544711b58226","2021-03-28 19:01:12.614655"
"290fb823-6a1c-4a87-953a-8877b36bec2a","icons/waste_types/appliances.svg","image","28a20b56-789a-4458-a6c7-a7dd1e80fa50","2021-03-28 19:01:12.614655"
"15baf38d-1ee2-4a81-bb2a-e69ca5a9c4b6","kagazy.kz","link","79170b21-b241-4258-bba1-66479e402de4","2021-03-28 17:38:35.062047"
"40d98282-d4dd-458d-a7dc-aec933a6b457","kagazy.kz","link","160a36e9-caed-4ec3-8ff2-3510322dd6e8","2021-03-28 17:38:35.062047"
"21f200e5-1b48-4e1f-b268-c0ff2658975f","kagazy.kz","link","a6ae703d-0d0c-4775-90b3-3370e92919d3","2021-03-28 17:38:35.062047"
"3bd24116-ae8c-4f46-850f-8316eb6ae9ed","","link","863a830d-2895-45fd-a2db-6ce631b2b7d2","2021-03-28 17:38:35.062047"
"1e83e2e4-6459-405a-bc44-ff4fd61a62ff","kagazy.kz","link","d269b534-7dc7-4dd6-a4ce-387c63170202","2021-03-28 17:38:35.062047"
"79e35ad6-cdb3-4abf-a069-05a9f9f51895","kagazy.kz","link","b30f7337-a03c-407a-a3cd-14d3510a8e9f","2021-03-28 17:38:35.062047"
"e4b78589-7ee8-4015-b01a-6b7708fe4a48","kagazy.kz","link","0b9f7176-2dd6-4e1d-b0e7-710ffdbcddd6","2021-03-28 17:38:35.062047"
"8bddaa3e-a211-46ef-8b1f-081595cbc274","kagazy.kz","link","54fcf8f4-9097-4fd6-9591-9cfeb69c91e0","2021-03-28 17:38:35.062047"
"b58abe9e-423f-4f56-a41c-b667522bc5f4","kagazy.kz","link","26f889df-88ac-4523-adc1-03f2a44edaf3","2021-03-28 17:38:35.062047"
"070a901f-0c6c-411c-b843-d411868ec215","","link","4d95c453-8398-4bd5-a11c-d688876fa529","2021-03-28 17:38:35.062047"
"27a1672e-029e-43fa-9bb1-365a0da2f60d","kagazy.kz","link","0a3c011f-1bf1-426d-87a2-c7ee0583013f","2021-03-28 17:38:35.062047"
"4f888a40-4581-4642-b032-e3fd189e4835","kagazy.kz","link","ecb8244b-4551-4c07-affb-db7d38cbb327","2021-03-28 17:38:35.062047"
"91439d7d-43dd-4b61-a24a-34fef97991cb","kagazy.kz","link","db8c79ca-4012-4dc8-b145-d0c165fe8cc7","2021-03-28 17:38:35.062047"
"629b0432-4d86-42dc-a2a9-531dc84e6cd8","kagazy.kz","link","2c6371da-230a-4a11-b7ef-9f057838eeb9","2021-03-28 17:38:35.062047"
"dbe8e78e-5492-40fd-9681-1d9db42b1695","kagazy.kz","link","38c61952-0545-4bbc-9425-8ee80302201b","2021-03-28 17:38:35.062047"
"4a5d48e7-2985-4925-b620-08fd6c4c922c","","link","f9b66e6c-10f5-4537-874f-d7c5304c6536","2021-03-28 17:38:35.062047"
"4e347d03-b0e6-42f3-88bf-e8bfbbc535c5","ecodomstroy.kz","link","233cd915-b4b8-4bac-8bd4-a025e2c7ce32","2021-03-28 17:38:35.062047"
"cd95e6c2-de70-435b-9085-552949e8ca32","kagazy.kz","link","a60e4402-de5d-4c8a-ba65-05f65f0c3fbc","2021-03-28 17:38:35.062047"
"da3921da-2eef-4ffb-b433-94bf6b853e10","kagazy.kz","link","90173459-644d-4467-b520-9a655743d418","2021-03-28 17:38:35.062047"
"9fc62b5f-3e6c-49b9-90b9-2745ac0c18bc","","link","6e8278b7-5f73-4dd0-ad37-2d4ccc9bca5c","2021-03-28 17:38:35.062047"
"46758eb1-e000-4397-88cf-15128b1f3ab0","","link","fd254789-6b05-4cbe-b7b7-860c176ff9ed","2021-03-28 17:38:35.062047"
"a325401b-b2af-425a-903b-d8b6948559a5","karina.kz","link","a8022d88-afda-4e1a-a581-7567cc4b70a6","2021-03-28 17:38:35.062047"
"c85d9f22-acb4-4de1-8600-429c3c380e96","kagazy.kz","link","003333eb-4b7e-43dd-96bd-c55d9689ec14","2021-03-28 17:38:35.062047"
"852fae47-d489-4fd3-89e6-04f41b0a98e0","glasstrade.kz","link","7b4b2e86-438e-4514-96fe-dce1049b4b02","2021-03-28 17:38:35.062047"
"95298783-ca56-489b-aae7-5b6f4a945967","birlesu.kz","link","ceacf94f-03e2-4f01-9d3b-b0920eeb88d8","2021-03-28 17:38:35.062047"
"256d7238-2280-4823-a171-72d977a3c8fa","tresurs.kz","link","d464a6e9-5714-497a-aeba-66d204faaa48","2021-03-28 17:38:35.062047"
"6dd26060-a004-4a7a-8908-9a9d523ca452","","link","03f5c14e-bc24-4f34-ab97-0d9454062149","2021-03-28 17:38:35.062047"
"fc1da45d-98dd-44bc-9bfa-a4b23b5ddf17","ecoprom.kz","link","4b1e00a3-fd2a-455c-a68f-ccb2a6202d34","2021-03-28 17:38:35.062047"
"f7253884-2152-4899-8e45-405fb61a0955","ecoprom.kz","link","5ddbc3b2-053f-460d-9df1-e2af50e9f7e2","2021-03-28 17:38:35.062047"
"051416bf-e7b8-46fc-a613-8a3b7b5b50b4","","link","48a4b78e-a643-4af3-adab-7295e07cd5d9","2021-03-28 17:38:35.062047"
"81d542f7-a926-4d6e-8263-4862ffd1bb7d","","link","c0a44663-4a9b-4858-bef9-ee97454ee46e","2021-03-28 17:38:35.062047"
"e7fb73a6-1ab2-4d06-bf72-b28d0c1d3d2c","","link","3f452643-1ad1-403c-b8bf-72eb6ce0b58f","2021-03-28 17:38:35.062047"
"f18b87eb-62e6-4e96-ae4d-f9a769e30c83","","link","1d8522b0-e031-45ff-95a0-b598cec9a19b","2021-03-28 17:38:35.062047"
"28e42e62-07e0-40b9-b113-875160f508f5","","link","6fbe56e9-fd96-42bf-ad82-dd76f7917e09","2021-03-28 17:38:35.062047"
"aa602c06-51a2-4988-a65d-c7c302f0e446","","link","5b0d0eee-08c9-43e3-9ac3-d38171f3d4b8","2021-03-28 17:38:35.062047"
"f7d61920-c9cb-4f17-8614-f44f5511861c","technodom.kz","link","f9e865ba-0d40-408b-8a45-db8761300536","2021-03-28 17:38:35.062047"
"e0f2e874-dc42-476c-bde5-3f01f55f4bbc","","link","2fe6fefa-771b-49f8-8dcb-07f87e2c2129","2021-03-28 17:38:35.062047"
"37008981-660a-4bab-b123-18743fea872b","technodom.kz","link","c0e06580-e975-42b6-9e86-9ac6849815bb","2021-03-28 17:38:35.062047"
"4fc47dfa-93db-463e-8a8e-179eceacdb5b","technodom.kz","link","628ec6f7-3af9-4140-b024-05ff120ee3c1","2021-03-28 17:38:35.062047"
"c949a766-a02a-47db-a1ea-8cd1ae581ad8","","link","2bf84398-c152-4aad-b2c5-966f7e23954a","2021-03-28 17:38:35.062047"
"923927bb-7ddd-4a1b-9ef2-8baa42768bd5","technodom.kz","link","0ba93ea1-3227-4676-abb4-dba69a22cd28","2021-03-28 17:38:35.062047"
"b2755898-db20-40f3-aba5-64f743a24257","","link","68a15afa-f5b4-4469-a93a-58d064d7a009","2021-03-28 17:38:35.062047"
"45effcef-bad2-4ef9-9400-9166ef6b60d1","","link","9fa6a836-c8e4-4e92-8576-980740a6ccae","2021-03-28 17:38:35.062047"
